% function evaluation | noise-free fitness - Fopt (-2,098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3,447587578e+07 +3,447587578e+07 +3,447566590e+07 +3,447566590e+07 -2,1143e+00 +1,9252e+00 +4,8426e+00 -1,7299e+00 -2,3894e+00 +4,8544e+00 -1,4036e+00 -4,7090e+00 -2,3751e+00 -3,4553e+00
453 +9,927250830e+02 +9,927250830e+02 +7,828450830e+02 +7,828450830e+02 -1,0256e+00 +1,7853e+00 +2,8325e+00 +2,6267e+00 +2,1595e+00 +2,6924e+00 +2,4177e+00 -6,8497e-02 -1,1332e+00 +2,6281e+00
1044 +3,413408231e+02 +3,413408231e+02 +1,314608231e+02 +1,314608231e+02 +1,0040e+00 +4,8978e-01 +3,6101e+00 +2,4455e+00 +1,8205e+00 +2,6924e+00 +2,3232e+00 -8,3659e-02 -1,1332e+00 +2,6192e+00
1413 +2,327991314e+02 +2,327991314e+02 +2,291913138e+01 +2,291913138e+01 +1,0282e+00 +4,8978e-01 +3,5123e+00 +2,3977e+00 +1,8037e+00 +2,6924e+00 +2,3232e+00 -8,3659e-02 -1,1134e+00 +2,6192e+00
3009 +2,991610738e+01 +2,991610738e+01 -1,799638926e+02 -1,799638926e+02 +1,2038e+00 +4,4914e-01 +3,5578e+00 +2,3796e+00 +1,7788e+00 +2,6860e+00 +2,3230e+00 -9,1075e-02 -1,1134e+00 +2,5991e+00
3419 +1,947947012e+01 +1,947947012e+01 -1,904005299e+02 -1,904005299e+02 +1,2038e+00 +4,4914e-01 +3,5578e+00 +2,3760e+00 +1,7805e+00 +2,6860e+00 +2,3230e+00 -9,1075e-02 -1,1114e+00 +2,6081e+00
3510 +1,841735022e+00 +1,841735022e+00 -2,080382650e+02 -2,080382650e+02 +1,2038e+00 +4,4914e-01 +3,5578e+00 +2,3796e+00 +1,7805e+00 +2,6860e+00 +2,3230e+00 -9,0515e-02 -1,1114e+00 +2,6053e+00
3840 +7,275599698e-01 +7,275599698e-01 -2,091524400e+02 -2,091524400e+02 +1,2065e+00 +4,4914e-01 +3,5578e+00 +2,3796e+00 +1,8029e+00 +2,6870e+00 +2,3230e+00 -9,0515e-02 -1,1114e+00 +2,6034e+00
3853 +6,026857699e-01 +6,026857699e-01 -2,092773142e+02 -2,092773142e+02 +1,2065e+00 +4,4914e-01 +3,5578e+00 +2,3796e+00 +1,7832e+00 +2,6870e+00 +2,3230e+00 -9,0515e-02 -1,1114e+00 +2,6034e+00
4780 +2,915405925e-01 +2,915405925e-01 -2,095884594e+02 -2,095884594e+02 +1,2065e+00 +4,4914e-01 +3,5726e+00 +2,3892e+00 +1,7841e+00 +2,6870e+00 +2,3230e+00 -9,0515e-02 -1,1109e+00 +2,6044e+00
4926 +2,109431107e-01 +2,109431107e-01 -2,096690569e+02 -2,096690569e+02 +1,2065e+00 +4,4845e-01 +3,5572e+00 +2,3892e+00 +1,7883e+00 +2,6882e+00 +2,3230e+00 -9,0515e-02 -1,1104e+00 +2,6044e+00
6480 +1,350164741e-01 +1,350164741e-01 -2,097449835e+02 -2,097449835e+02 +1,2065e+00 +4,4809e-01 +3,5478e+00 +2,3864e+00 +1,7854e+00 +2,6889e+00 +2,3219e+00 -9,0276e-02 -1,1104e+00 +2,6043e+00
6514 +8,670881627e-03 +8,670881627e-03 -2,098713291e+02 -2,098713291e+02 +1,2065e+00 +4,4809e-01 +3,5478e+00 +2,3864e+00 +1,7854e+00 +2,6889e+00 +2,3219e+00 -9,0276e-02 -1,1104e+00 +2,6039e+00
6900 +8,218921223e-04 +8,218921223e-04 -2,098791781e+02 -2,098791781e+02 +1,2071e+00 +4,4809e-01 +3,5545e+00 +2,3868e+00 +1,7855e+00 +2,6889e+00 +2,3215e+00 -9,0308e-02 -1,1104e+00 +2,6040e+00
7468 +5,777575043e-04 +5,777575043e-04 -2,098794222e+02 -2,098794222e+02 +1,2071e+00 +4,4833e-01 +3,5544e+00 +2,3864e+00 +1,7855e+00 +2,6889e+00 +2,3216e+00 -9,0314e-02 -1,1104e+00 +2,6040e+00
7629 +2,230334865e-04 +2,230334865e-04 -2,098797770e+02 -2,098797770e+02 +1,2072e+00 +4,4810e-01 +3,5544e+00 +2,3864e+00 +1,7855e+00 +2,6889e+00 +2,3216e+00 -9,0369e-02 -1,1104e+00 +2,6040e+00
7649 +7,465488270e-05 +7,465488270e-05 -2,098799253e+02 -2,098799253e+02 +1,2071e+00 +4,4810e-01 +3,5544e+00 +2,3864e+00 +1,7855e+00 +2,6889e+00 +2,3216e+00 -9,0369e-02 -1,1104e+00 +2,6040e+00
7723 +6,289588129e-05 +6,289588129e-05 -2,098799371e+02 -2,098799371e+02 +1,2072e+00 +4,4806e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0369e-02 -1,1104e+00 +2,6040e+00
8230 +3,180370811e-06 +3,180370811e-06 -2,098799968e+02 -2,098799968e+02 +1,2072e+00 +4,4799e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0402e-02 -1,1104e+00 +2,6040e+00
9031 +2,245867961e-06 +2,245867961e-06 -2,098799978e+02 -2,098799978e+02 +1,2072e+00 +4,4799e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0401e-02 -1,1104e+00 +2,6040e+00
9042 +1,536813187e-06 +1,536813187e-06 -2,098799985e+02 -2,098799985e+02 +1,2072e+00 +4,4800e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0401e-02 -1,1104e+00 +2,6040e+00
9053 +9,742004181e-07 +9,742004181e-07 -2,098799990e+02 -2,098799990e+02 +1,2072e+00 +4,4799e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0401e-02 -1,1104e+00 +2,6040e+00
9055 +5,572596820e-07 +5,572596820e-07 -2,098799994e+02 -2,098799994e+02 +1,2072e+00 +4,4800e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0401e-02 -1,1104e+00 +2,6040e+00
9318 +3,966042641e-07 +3,966042641e-07 -2,098799996e+02 -2,098799996e+02 +1,2072e+00 +4,4799e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0401e-02 -1,1104e+00 +2,6040e+00
9319 +4,492306971e-08 +4,492306971e-08 -2,098800000e+02 -2,098800000e+02 +1,2072e+00 +4,4799e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0401e-02 -1,1104e+00 +2,6040e+00
9333 +3,823240036e-08 +3,823240036e-08 -2,098800000e+02 -2,098800000e+02 +1,2072e+00 +4,4799e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0401e-02 -1,1104e+00 +2,6040e+00
9417 +1,835317676e-08 +1,835317676e-08 -2,098800000e+02 -2,098800000e+02 +1,2072e+00 +4,4799e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0400e-02 -1,1104e+00 +2,6040e+00
9523 +3,742627541e-09 +3,742627541e-09 -2,098800000e+02 -2,098800000e+02 +1,2072e+00 +4,4799e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0400e-02 -1,1104e+00 +2,6040e+00
9615 +1,869807420e-09 +1,869807420e-09 -2,098800000e+02 -2,098800000e+02 +1,2072e+00 +4,4799e-01 +3,5544e+00 +2,3864e+00 +1,7856e+00 +2,6888e+00 +2,3216e+00 -9,0400e-02 -1,1104e+00 +2,6040e+00
